title,description,keywords,cluster,x,y
Tax Consultant,"A Business Tax Consultant specializes in tax planning and compliance for businesses. They assist with tax strategy, filings, and help organizations minimize tax liabilities.","minimize, compliance, specializes, liabilities, tax",72,-8.703171,-7.869976
Electrical Designer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.","control, various, work, generation, engineers",60,2.358202,6.2450986
UX Researcher,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.","inform, understand, conduct, preferences, research",82,17.172337,23.988365
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.","end, setting, maintaining, troubleshooting, hardware",117,-10.932877,-14.748638
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.","end, setting, maintaining, troubleshooting, hardware",117,-10.922339,-14.771753
Customer Service Manager,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.","high, ensure, monitor, evaluate, organization",-1,-1.5261927,-21.336546
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","respond, monitor, traffic, organizations, protect",67,6.484051,-19.976732
UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,"focuses, functional, create, intuitive, preferences",56,0.74774975,31.653273
Legal Counsel,"Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings.","focus, like, clients, discrimination, proceedings",-1,29.79156,17.137531
Sales Associate,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.","positive, environments, assists, shopping, associate",116,15.307994,9.561817
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.","ensure, quality, processes, optimize, engineers",146,-24.796726,4.2371063
HR Manager,"A Human Resources Director leads HR functions, including talent acquisition, employee development, and HR strategy, to promote a positive work environment and support organizational goals.","positive, including, acquisition, functions, hr",-1,12.154492,14.33893
Environmental Engineer,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.","develops, helps, efficiency, specialist, sustainability",78,6.4480124,10.471445
Litigation Attorney,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.","handle, specialize, legal, acquisitions, litigators",-1,9.463557,-5.6363354
Office Manager,"Administrative Managers oversee office operations. They manage administrative staff, coordinate tasks, and ensure smooth office functioning to support the organizations goals.","ensure, coordinate, smooth, goals, oversee",127,-1.6509653,-15.649247
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"specialize, considering, responses, digital, interfaces",24,-1.3069317,12.956736
Network Engineer,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.","respond, measures, network, safeguard, engineers",68,-4.2599263,-7.2402163
Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.","online, digital, metrics, optimize, campaigns",76,-9.328218,28.558245
Network Analyst,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.","collect, solutions, enhance, reliability, analysts",-1,6.135836,5.2159944
Account Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.","ensure, build, needs, relationships, client",102,0.16554625,-1.7233464
Civil Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","ensure, standards, analyzes, designs, bridges",99,-3.9307487,-10.068197
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","analyze, schedule, engagement, awareness, brand",153,8.577746,32.988327
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,"functional, create, pleasing, properties, landscape",118,1.2760997,22.967796
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","analyze, schedule, engagement, awareness, brand",153,8.577914,32.986412
Legal Secretary,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.","including, needed, professionals, scheduling, hearings",49,14.313296,-21.79761
Financial Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.","create, informed, trends, analyze, portfolio",137,-9.551992,21.679327
Family Lawyer,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,"remain, acceptable, resolution, techniques, parties",-1,18.506035,-7.5896587
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","generate, sets, inform, recommendations, analyze",104,-16.661863,27.564096
Veterinarian,"Provide medical care and treatment to exotic animals, diagnose illnesses, perform surgeries, and educate owners on animal care.","diagnose, perform, exotic, educate, animals",36,29.35718,-1.6833335
Software Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"create, performance, applications, execute, tester",35,-13.939852,4.832634
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","respond, monitor, traffic, organizations, protect",67,6.4874783,-19.980164
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"specialize, considering, responses, digital, interfaces",23,-4.8532276,9.676032
Project Coordinator,"Construction Project Coordinators assist in managing construction projects, handling documentation, budget tracking, and coordinating subcontractors.","budget, assist, documentation, subcontractors, managing",-1,7.7876196,-7.2955227
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","generate, sets, inform, recommendations, analyze",103,-11.108832,25.730808
QA Analyst,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"focus, streamline, consistency, engineers, scripts",34,-17.003975,5.872434
Systems Engineer,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","designing, ensuring, engineer, azure, gcp",-1,4.354141,-1.670246
Occupational Therapist,A Geriatric Occupational Therapist works with elderly individuals to address age-related health issues and maintain independence and quality of life.,"works, quality, independence, occupational, elderly",-1,20.03948,7.205607
Structural Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.","regulations, integrity, structural, specializes, bridge",99,-3.9432137,-10.079855
Occupational Therapist,A Mental Health Occupational Therapist assists individuals with mental health conditions in improving their daily functioning and coping skills through therapy and interventions.,"conditions, individuals, assists, daily, interventions",42,28.322714,-7.6811876
Procurement Manager,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.","support, saving, analyze, cost, procurement",159,-2.400202,0.6084966
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","ensure, appealing, elements, digital, layouts",130,-21.91792,15.406785
Public Relations Specialist,"Crisis Communication Managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.","times, develop, respond, maintaining, crises",1,1.5481387,2.1134303
Tax Consultant,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.","structures, focuses, compliance, consultant, tax",79,10.809584,-0.003822624
IT Support Specialist,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.","including, networks, maintain, security, administrators",120,2.0628994,-10.450843
QA Analyst,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","play, designing, executing, reliability, testers",17,-9.908971,2.7343507
Systems Analyst,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.","bridges, recommends, gap, requirements, processes",100,-19.780905,5.0861983
Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,"focuses, properties, optimize, commercial, layouts",56,-18.567932,19.06271
Customer Service Manager,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.","high, ensure, monitor, evaluate, organization",-1,-1.5362629,-21.345915
Office Manager,"Administrative Managers oversee office operations. They manage administrative staff, coordinate tasks, and ensure smooth office functioning to support the organizations goals.","ensure, coordinate, smooth, goals, oversee",127,-1.6570477,-15.643487
Systems Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","efficient, troubleshooting, integrity, databases, administrators",58,-2.065116,-25.022083
Substance Abuse Counselor,"A Recovery Coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life.","build, offers, individuals, coach, sobriety",-1,33.71986,14.621117
Investment Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,"recommend, mitigation, modeling, evaluate, financial",74,1.2388268,14.421897
Finance Manager,"Treasury Managers manage a companys treasury operations. They oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.","stability, risk, cash, companys, oversee",-1,-2.6802475,-3.3016832
Tax Consultant,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.","structures, focuses, compliance, consultant, tax",79,10.809566,-0.0037817422
Network Technician,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.","respond, measures, specialists, protect, network",69,8.024804,-8.935848
Mechanical Designer,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.","focusing, comfort, systems, efficiency, hvac",3,20.231625,9.115665
Sales Manager,"Lead and motivate sales teams, set sales targets, and develop sales strategies to meet goals.","meet, set, motivate, strategies, sales",162,18.735079,19.89345
Event Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.","aspect, assisting, selection, specialize, wedding",52,24.446922,12.071806
Data Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","valuable, patterns, stakeholders, intelligence, dashboards",54,-8.441687,7.405989
Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.","troubleshoot, ensure, optimize, engineers, wireless",105,-14.811032,-12.080904
Marketing Manager,"Digital Marketing Managers lead digital marketing efforts, including SEO, SEM, social media, email marketing, and content strategy. They develop and execute digital marketing campaigns to increase brand awareness, drive traffic, and generate leads or sales.","generate, traffic, efforts, email, brand",-1,-3.1556065,29.071356
Financial Controller,"Accounting Controllers manage an organizations accounting and financial reporting functions. They ensure accurate financial records, compliance with accounting standards, and timely financial reporting to support informed decision-making.","ensure, timely, standards, controllers, accounting",122,-5.9242167,-9.396055
Procurement Specialist,"Sourcing Analysts research and analyze potential suppliers, evaluate procurement strategies, and negotiate contracts to secure cost-effective and quality supplies.","effective, secure, evaluate, cost, sourcing",101,-21.212004,9.031361
Project Manager,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.","requirements, members, effective, prioritize, agile",10,-7.740166,0.06748825
Purchasing Agent,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.","movements, availability, coordinates, oversees, optimizes",38,-11.502242,-1.4124217
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","ensure, appealing, elements, digital, layouts",130,-21.904346,15.393157
Java Developer,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","functional, cross, quality, teams, debug",-1,-4.1795797,16.620523
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.","end, setting, maintaining, troubleshooting, hardware",117,-10.915031,-14.771506
UX Researcher,"Develop user experience (UX) strategies, create user journeys, and ensure user-centric design in product development.","ensure, centric, user, journeys, strategies",-1,-2.256944,-12.966418
Veterinarian,"An Equine Veterinarian specializes in the health and well-being of horses. They diagnose and treat equine illnesses, perform surgeries, and provide preventive care for horses.","preventive, provide, diagnose, surgeries, equine",-1,11.294746,-4.7916503
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","ensure, appealing, elements, digital, layouts",130,-21.839836,15.328398
Event Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.","ensure, coordinates, liaise, budgeting, conferences",163,5.4651814,-14.618491
Content Writer,"Copywriters create compelling written content for various mediums, such as advertising, websites, and marketing materials. They craft persuasive and engaging messages that resonate with target audiences.","messages, target, materials, compelling, copywriters",27,5.2642674,17.560526
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","respond, monitor, traffic, organizations, protect",67,6.465242,-19.957996
Substance Abuse Counselor,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.","address, dynamics, healthier, fostering, counselor",42,27.780819,9.124136
Finance Manager,"Treasury Managers manage a companys treasury operations. They oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.","stability, risk, cash, companys, oversee",-1,-2.669662,-3.2912865
Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.","online, digital, metrics, optimize, campaigns",76,-9.328559,28.55804
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.","ensure, quality, processes, optimize, engineers",146,-24.79672,4.237089
Marketing Coordinator,"Event Marketing Coordinators focus on marketing events, including trade shows, exhibitions, and product launches, to maximize attendance and engagement.","trade, maximize, engagement, attendance, exhibitions",-1,19.647516,29.210304
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","meet, ensure, standards, defects, analyst",151,2.6697676,-14.301372
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"specialize, considering, responses, digital, interfaces",23,-4.82327,9.71056
Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","effectively, messages, brochures, print, designers",30,11.188362,26.409224
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"specialize, considering, responses, digital, interfaces",23,-4.821721,9.715776
Procurement Specialist,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.","effective, cost, relationships, oversee, procurement",158,-1.1755735,3.5681772
Network Security Specialist,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.","implement, breaches, monitor, protect, analysts",-1,-8.369257,-9.932998
Graphic Designer,"Web Graphic Designers create visually appealing graphics, images, and layouts for websites. They work closely with web developers and UI/UX designers to ensure that web content is aesthetically pleasing, on-brand, and engaging to users.","brand, engaging, pleasing, developers, layouts",83,-2.2789145,33.121872
Electrical Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.","focusing, distribution, transmission, generation, maintain",3,-15.132759,7.4206867
HR Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.","ensure, including, inquiries, retirement, employee",22,6.532813,-27.523117
Chemical Engineer,"Monitor and maintain product quality standards, perform inspections, and implement quality control procedures.","perform, product, monitor, standards, inspections",128,-1.4342667,-5.7974024
Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,"focuses, properties, optimize, commercial, layouts",56,-18.567852,19.062632
Legal Advisor,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.","risks, advise, documents, operates, litigation",84,5.8229284,-6.4992576
Structural Engineer,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.","bring, market, principles, creates, engineer",-1,-8.255266,13.037168
Psychologist,"Research Psychologists conduct psychological research to advance the fields understanding. They design studies, collect data, and analyze results to inform scientific knowledge.","collect, inform, fields, analyze, psychologists",-1,21.898594,3.7392645
Legal Secretary,"A Legal Assistant supports legal professionals by performing administrative and research tasks, organizing legal documents, and assisting with legal proceedings and documentation.","organizing, performing, legal, documentation, assistant",90,13.937261,-0.4374373
Process Engineer,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.","ensure, minimize, data, oversee, environmental",132,-16.628578,-18.062738
Front-End Engineer,"JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.","smooth, interactions, responsive, create, libraries",-1,-15.026482,23.513708
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","respond, monitor, traffic, organizations, protect",67,6.5118866,-20.004553
Executive Assistant,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.","including, allocation, daily, workflow, supervising",85,7.4477177,-12.894071
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","meet, ensure, standards, defects, analyst",151,2.6698685,-14.316656
Procurement Manager,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.","support, saving, analyze, cost, procurement",159,-2.4576406,0.5517942
Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","experience, user, collaborate, interfaces, responsive",123,-6.169124,23.770533
Marketing Director,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.","work, perception, consistency, oversee, brand",145,6.070668,13.414549
QA Analyst,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.","conducting, ensure, assess, stress, bottlenecks",93,5.3797855,-17.332966
Sales Manager,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.","specific, develop, teams, oversee, sales",-1,4.2347355,15.796289
Java Developer,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","ensure, seamless, user, integrate, technologies",133,-15.614828,-6.7221594
Project Manager,"The Construction Project Manager oversees and manages construction projects, ensuring they are completed on time and within budget. They coordinate with contractors, architects, and other stakeholders to ensure successful project delivery.","coordinate, completed, ensure, budget, stakeholders",163,2.029742,-21.344376
Procurement Coordinator,"Purchasing Coordinators manage procurement processes. They source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions.","source, ensure, cost, processes, coordinators",160,-3.2969291,-6.001134
Litigation Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","deal, like, guidance, adoption, disputes",41,16.395954,-9.143071
Substance Abuse Counselor,"An Addiction Counselor provides support and therapy to individuals struggling with addiction, helping them overcome substance abuse and develop healthier coping strategies.","healthier, individuals, strategies, provides, counselor",42,31.742224,9.090911
UI Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"elements, end, specializes, websites, interact",7,-11.718171,18.89933
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.","ensure, optimize, structured, query, developers",131,-22.27448,-7.7410984
Social Media Manager,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","provide, track, metrics, analysts, social",136,4.3214636,21.843992
UX Researcher,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.","inform, understand, conduct, preferences, research",82,17.172068,23.98854
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.","end, resolving, ensuring, desk, technical",117,4.830782,-23.83742
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","runs, communication, maintaining, developer, database",126,-19.906446,-0.34092543
Marketing Director,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.","work, perception, consistency, oversee, brand",145,6.073704,13.417595
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","optimal, monitor, configure, security, organizations",59,-12.508912,-5.5485654
Registered Nurse,"A Charge Nurse leads and supervises nursing staff, coordinates patient care, and ensures efficient operations within a healthcare unit or department.","ensures, coordinates, charge, supervises, nursing",114,10.9858885,-24.100313
